episode_id,seat,policy_tag,win,opening_shape
118,3,flexaggrod,0,2.7390000000000003
119,0,flexaggrod,0,3.254
119,1,flexaggrod,0,3.769
119,2,flexaggrod,1,3.769
119,3,flexaggrod,0,5.06
120,0,flexaggrod,1,2.7990000000000004
120,1,flexaggrod,0,2.284
120,2,flexaggrod,0,3.769
120,3,flexaggrod,0,4.09
121,0,flexaggrod,0,2.769
121,1,flexaggrod,0,4.09
121,2,flexaggrod,0,3.254
121,3,flexaggrod,1,3.254
122,0,flexaggrod,0,2.284
122,1,flexaggrod,0,5.06
122,2,flexaggrod,0,4.06
122,3,flexaggrod,1,4.09
123,0,flexaggrod,0,3.254
123,1,flexaggrod,0,3.254
123,2,flexaggrod,1,2.284
123,3,flexaggrod,0,3.769
124,0,flexaggrod,1,3.769
124,1,flexaggrod,0,2.284
124,2,flexaggrod,0,2.7390000000000003
124,3,flexaggrod,0,3.769
125,0,flexaggrod,0,4.06
125,1,flexaggrod,0,3.254
125,2,flexaggrod,0,3.254
125,3,flexaggrod,1,5.06
126,0,flexaggrod,0,3.769
126,1,flexaggrod,1,1.7690000000000001
126,2,flexaggrod,0,3.254
126,3,flexaggrod,0,4.06
127,0,flexaggrod,0,3.254
127,1,flexaggrod,0,2.7990000000000004
127,2,flexaggrod,0,3.254
127,3,flexaggrod,1,2.7990000000000004
128,0,flexaggrod,0,2.7990000000000004
128,1,flexaggrod,0,3.254
128,2,flexaggrod,0,2.254
128,3,flexaggrod,1,3.254
129,0,flexaggrod,0,4.09
129,1,flexaggrod,0,5.06
129,2,flexaggrod,0,4.09
129,3,flexaggrod,1,3.254
130,0,flexaggrod,1,2.7990000000000004
130,1,flexaggrod,0,2.7390000000000003
130,2,flexaggrod,0,2.254
130,3,flexaggrod,0,3.254
131,0,flexaggrod,0,3.769
131,1,flexaggrod,1,3.254
131,2,flexaggrod,0,2.284
131,3,flexaggrod,0,2.769
132,0,flexaggrod,0,2.7990000000000004
132,1,flexaggrod,0,3.769
132,2,flexaggrod,1,3.254
132,3,flexaggrod,0,2.284
133,0,flexaggrod,0,3.254
133,1,flexaggrod,1,2.769
133,2,flexaggrod,0,3.769
133,3,flexaggrod,0,2.7390000000000003
134,0,flexaggrod,1,2.254
134,1,flexaggrod,0,3.769
134,2,flexaggrod,0,3.254
134,3,flexaggrod,0,2.7390000000000003
135,0,flexaggrod,0,4.03
135,1,flexaggrod,0,2.7390000000000003
135,2,flexaggrod,1,2.284
135,3,flexaggrod,0,1.829
136,0,flexaggrod,0,4.09
136,1,flexaggrod,1,4.06
136,2,flexaggrod,0,5.06
136,3,flexaggrod,0,2.7390000000000003
137,0,flexaggrod,0,2.284
137,1,flexaggrod,0,3.0300000000000002
137,2,flexaggrod,0,5.06
137,3,flexaggrod,1,3.254
138,0,flexaggrod,0,3.0900000000000003
138,1,flexaggrod,0,2.7990000000000004
138,2,flexaggrod,1,1.799
138,3,flexaggrod,0,2.7390000000000003
139,0,flexaggrod,0,2.7390000000000003
139,1,flexaggrod,0,2.769
139,2,flexaggrod,0,4.09
139,3,flexaggrod,1,2.284
140,0,flexaggrod,0,3.769
140,1,flexaggrod,0,4.09
140,2,flexaggrod,0,2.7390000000000003
140,3,flexaggrod,1,2.284
141,0,flexaggrod,0,1.7690000000000001
141,1,flexaggrod,0,4.09
141,2,flexaggrod,0,4.09
141,3,flexaggrod,1,2.769
142,0,flexaggrod,0,2.7990000000000004
142,1,flexaggrod,0,1.799
142,2,flexaggrod,1,3.254
142,3,flexaggrod,0,2.7990000000000004
143,0,flexaggrod,0,3.769
143,1,flexaggrod,0,4.06
143,2,flexaggrod,0,2.7390000000000003
143,3,flexaggrod,1,2.769
144,0,flexaggrod,1,2.2239999999999998
144,1,flexaggrod,0,3.769
144,2,flexaggrod,0,4.09
144,3,flexaggrod,0,2.254
145,0,flexaggrod,0,5.06
145,1,flexaggrod,0,3.769
145,2,flexaggrod,0,3.769
145,3,flexaggrod,0,3.254
146,0,flexaggrod,0,3.254
146,1,flexaggrod,1,2.7390000000000003
146,2,flexaggrod,0,2.7390000000000003
146,3,flexaggrod,0,3.769
147,0,flexaggrod,0,3.769
147,1,flexaggrod,0,2.254
147,2,flexaggrod,0,2.254
147,3,flexaggrod,0,3.769
148,0,flexaggrod,0,3.769
148,1,flexaggrod,0,4.09
148,2,flexaggrod,0,2.769
148,3,flexaggrod,1,5.06
149,0,flexaggrod,1,2.7390000000000003
149,1,flexaggrod,0,2.7390000000000003
149,2,flexaggrod,0,3.254
149,3,flexaggrod,0,3.769
150,0,flexaggrod,0,2.284
150,1,flexaggrod,0,4.09
150,2,flexaggrod,0,3.254
150,3,flexaggrod,1,3.769
151,0,flexaggrod,0,2.7990000000000004
151,1,flexaggrod,0,2.7390000000000003
151,2,flexaggrod,1,3.254
151,3,flexaggrod,0,2.2239999999999998
152,0,flexaggrod,0,2.769
152,1,flexaggrod,0,2.254
152,2,flexaggrod,0,3.254
152,3,flexaggrod,0,3.254
153,0,flexaggrod,0,5.06
153,1,flexaggrod,0,3.254
153,2,flexaggrod,1,2.7390000000000003
153,3,flexaggrod,0,4.06
154,0,flexaggrod,0,3.769
