episode_id,policy_tag,win,opening_shape,points,reward
96,flexaggrod,0,4.09,0.0,-1.3125
96,flexaggrod,1,3.769,0.0,1.3125
96,flexaggrod,0,3.769,0.0,0.0
97,flexaggrod,1,1.254,0.0,1.4375
97,flexaggrod,0,4.09,0.0,0.0
97,flexaggrod,0,1.7690000000000001,0.0,-1.4375
97,flexaggrod,0,2.7990000000000004,0.0,0.0
98,flexaggrod,1,2.7390000000000003,0.0,4.3125
98,flexaggrod,0,3.769,0.0,-1.4375
98,flexaggrod,0,2.769,0.0,-1.4375
98,flexaggrod,0,3.0900000000000003,0.0,-1.4375
99,flexaggrod,0,3.769,0.0,-1.3125
99,flexaggrod,1,2.2239999999999998,0.0,3.9375
99,flexaggrod,0,3.0900000000000003,0.0,-1.3125
99,flexaggrod,0,2.7990000000000004,0.0,-1.3125
100,flexaggrod,0,2.284,0.0,-1.4375
100,flexaggrod,0,3.769,0.0,-1.4375
100,flexaggrod,1,2.284,0.0,4.3125
100,flexaggrod,0,3.769,0.0,-1.4375
101,flexaggrod,1,4.06,0.0,1.5
101,flexaggrod,0,2.284,0.0,0.0
101,flexaggrod,0,3.254,0.0,0.0
101,flexaggrod,0,2.2239999999999998,0.0,-1.5
102,flexaggrod,0,2.7990000000000004,0.0,0.0
102,flexaggrod,0,2.2239999999999998,0.0,-1.375
102,flexaggrod,1,3.254,0.0,1.375
102,flexaggrod,0,3.254,0.0,0.0
103,flexaggrod,1,3.254,0.0,1.375
103,flexaggrod,0,2.284,0.0,0.0
103,flexaggrod,0,4.09,0.0,-1.375
103,flexaggrod,0,2.769,0.0,0.0
104,flexaggrod,1,2.7390000000000003,0.0,2.4375
104,flexaggrod,0,1.7690000000000001,0.0,-0.8125
104,flexaggrod,0,2.7390000000000003,0.0,-0.8125
104,flexaggrod,0,4.06,0.0,-0.8125
105,flexaggrod,1,1.7690000000000001,0.0,1.375
105,flexaggrod,0,3.12,0.0,0.0
105,flexaggrod,0,2.7990000000000004,0.0,-1.375
105,flexaggrod,0,3.254,0.0,0.0
106,flexaggrod,1,3.769,0.0,4.6875
106,flexaggrod,0,3.12,0.0,-1.5625
106,flexaggrod,0,3.769,0.0,-1.5625
106,flexaggrod,0,3.0900000000000003,0.0,-1.5625
107,flexaggrod,1,2.769,0.0,3.9375
107,flexaggrod,0,3.769,0.0,-1.3125
107,flexaggrod,0,2.254,0.0,-1.3125
107,flexaggrod,0,2.254,0.0,-1.3125
108,flexaggrod,0,2.7390000000000003,0.0,0.0
108,flexaggrod,1,2.769,0.0,1.4375
108,flexaggrod,0,2.7990000000000004,0.0,-1.4375
108,flexaggrod,0,3.254,0.0,0.0
109,flexaggrod,0,2.7990000000000004,0.0,0.0
109,flexaggrod,0,3.769,0.0,-1.375
109,flexaggrod,1,1.7690000000000001,0.0,1.375
109,flexaggrod,0,3.769,0.0,0.0
110,flexaggrod,1,2.7990000000000004,0.0,1.375
110,flexaggrod,0,3.254,0.0,0.0
110,flexaggrod,0,2.7390000000000003,0.0,-1.375
110,flexaggrod,0,3.769,0.0,0.0
111,flexaggrod,0,5.06,0.0,0.0
111,flexaggrod,1,2.7390000000000003,0.0,1.4375
111,flexaggrod,0,4.06,0.0,-1.4375
111,flexaggrod,0,5.06,0.0,0.0
112,flexaggrod,1,3.769,0.0,1.375
112,flexaggrod,0,3.769,0.0,0.0
112,flexaggrod,0,3.254,0.0,0.0
112,flexaggrod,0,1.829,0.0,-1.375
113,flexaggrod,0,1.829,0.0,-1.625
113,flexaggrod,0,2.7390000000000003,0.0,0.0
113,flexaggrod,0,3.254,0.0,0.0
113,flexaggrod,1,2.7390000000000003,0.0,1.625
114,flexaggrod,0,3.254,0.0,-1.375
114,flexaggrod,1,3.254,0.0,1.375
114,flexaggrod,0,2.7990000000000004,0.0,0.0
114,flexaggrod,0,5.06,0.0,0.0
115,flexaggrod,0,2.7990000000000004,0.0,-1.4375
115,flexaggrod,1,2.2239999999999998,0.0,1.4375
115,flexaggrod,0,2.7990000000000004,0.0,0.0
115,flexaggrod,0,3.254,0.0,0.0
116,flexaggrod,0,3.769,0.0,-1.5
116,flexaggrod,0,3.0900000000000003,0.0,-1.5
116,flexaggrod,0,3.254,0.0,-1.5
116,flexaggrod,1,2.284,0.0,4.5
117,flexaggrod,1,2.7990000000000004,0.0,1.5
117,flexaggrod,0,2.7390000000000003,0.0,0.0
117,flexaggrod,0,3.769,0.0,0.0
117,flexaggrod,0,3.254,0.0,-1.5
118,flexaggrod,0,4.06,0.0,0.0
118,flexaggrod,0,3.769,0.0,-1.4375
118,flexaggrod,0,2.2239999999999998,0.0,0.0
118,flexaggrod,1,3.769,0.0,1.4375
119,flexaggrod,0,2.7390000000000003,0.0,-2.75
119,flexaggrod,0,5.06,0.0,-2.75
119,flexaggrod,0,4.09,0.0,-2.75
119,flexaggrod,1,3.769,0.0,7.5
